Q1,Q2,Q18,Q3,Q3_4_TEXT,Q23,Q24,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q22,Q6_1,Q27_1,Q28_1,Q28_2,Q28_3,Q28_4,Q8,Q9,Q9_4_TEXT,Q12
"Thank you for participating in our study. This study is part of a class project for COGS164 at UC San Diego, led by Andrea A Chiba. The data collected will be anonymous and will not be attached to your name. The study will only be shared within the context of COGS164, and therefore does not merit review by UCSD's Institutional Review Board (https://irb.ucsd.edu/Research_or_not.pdf). However, the students and teaching team have done their best to ensure that the experimental protocol follows the board's guidelines. There is no compensation for participating and you may quit the experiment at any time. Please feel free to contact Andrea A Chiba at achiba@ucsd.edu if you have any questions. Do you consent to participating?",Are you currently enrolled at UC San Diego as a Psychology major?,Please specify your major in the text-box below.,"Please select the statistics class you have taken, or are currently enrolled in. - Selected Choice","Please select the statistics class you have taken, or are currently enrolled in. - Other (Please specify) - Text",Did you have any experience learning statistics prior to taking the course you selected above?,Please specify where you have taken a statistics class/previously learned statistics.,Please select the appropriate rating that aligns with your input regarding the statements on learning statistics (located on the left side of the matrix). - I enjoy learning statistics.,Please select the appropriate rating that aligns with your input regarding the statements on learning statistics (located on the left side of the matrix). - I find learning statistics interesting.,Please select the appropriate rating that aligns with your input regarding the statements on learning statistics (located on the left side of the matrix). - I like learning about statistical concepts that challenge me.,Please select the appropriate rating that aligns with your input regarding the statements on learning statistics (located on the left side of the matrix). - The concepts I learn in statistics are more important to me than the grade I receive.,Please select the appropriate rating that closely aligns with your experience in learning statistics. - Difficulty rating in learning statistics.,Which option best describes the emotion(s) you have experienced while learning statistics?,How motivated do you feel to persist studying statistic in the future? Please rate from 0 (completely unmotivated) to 100 (highly motivated) - Motivation,How useful do you perceive statistic knowledge is to your future career or learning? Please rate from 0 (completely useless) to 100 (extremely useful) - Useful,Please select the appropriate rating that aligns with your input regarding the statements on learning science concepts (located on the left side of the matrix). - I enjoy learning science.,Please select the appropriate rating that aligns with your input regarding the statements on learning science concepts (located on the left side of the matrix). - I find learning science interesting.,Please select the appropriate rating that aligns with your input regarding the statements on learning science concepts (located on the left side of the matrix). - I like learning about science concepts that challenge me.,Please select the appropriate rating that aligns with your input regarding the statements on learning science concepts (located on the left side of the matrix). - The concepts I learn in my science courses are more important to me than the grade I receive.,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What year (of university) are you in?
I DO consent,Yes,,PSYC111B,,Yes,At ucsd and also learned some AP statistics myself when in high school,3,3,3,3,Slightly Difficult,"Stress,Frustration,Excitement,Happiness,Hopefulness",100,85,Agree,Agree,Agree,Strongly Agree,21,Male,,Junior
I DO consent,Yes,,PSYC111B,,Yes,PSYC 60,-2,1,-2,-1,Slightly Difficult,"Stress,Anxiousness,Frustration,Pride",40,75,Strongly Agree,Strongly Agree,Strongly Agree,Agree,22,Female,,Senior
I DO consent,Yes,,PSYC111B,,Yes,UCSC,1,1,2,2,Difficult,"Stress,Anxiousness,Frustration,Hopefulness",71,87,Slightly Agree,Slightly Agree,Slightly Disagree,Agree,22,Female,,Senior
I DO consent,Yes,,"PSYC60,PSYC111B",,Yes,High school,-2,-2,-2,1,Difficult,"Stress,Anxiousness,Frustration,Hopefulness,Pride",28,72,Agree,Agree,Slightly Agree,Slightly Agree,20,Female,,Junior
I DO consent,Yes,,PSYC60,,Yes,ap stats,-2,1,1,-2,Difficult,"Stress,Anxiousness,Frustration,Hopelessness,Confidence",33,40,Agree,Agree,Agree,Slightly Disagree,19,Female,,Freshman
I DO consent,No,Cognitive and Behavioral Neuroscience,PSYC60,,Yes,Learned statistics in an AP Biology class,2,2,2,1,Slightly Easy,"Stress,Anxiousness,Frustration,Happiness,Hopefulness,Confidence",80,100,Agree,Strongly Agree,Agree,Slightly Agree,18,Female,,Freshman
I DO consent,Yes,,PSYC60,,Yes,High School ,-1,1,1,-1,Extremely Difficult,"Stress,Frustration,Hopelessness",10,30,Agree,Agree,Slightly Agree,Slightly Disagree,19,Female,,Sophomore
I DO consent,Yes,,PSYC60,,Yes,high school (AP stats) ,1,2,1,1,Slightly Easy,"Stress,Anxiousness,Happiness,Hopefulness,Confidence",76,85,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,19,Female,,Freshman
I DO consent,Yes,,PSYC60,,Yes,I learned statistic in high school,2,2,1,2,Difficult,"Stress,Hopelessness,Hopefulness,Confidence",70,85,Disagree,Slightly Agree,Disagree,Agree,19,Female,,Freshman
I DO consent,No,Visual Art- Studio,PSYC60,,Yes,High School unit in Mathematics ,-2,1,-1,-2,Extremely Difficult,"Stress,Anxiousness,Frustration,Hopelessness",1,0,Agree,Agree,Agree,Slightly Disagree,19,Female,,Freshman
I DO consent,Yes,,PSYC60,,Yes,I took AP Statistics in high school,1,-1,-1,-2,Slightly Difficult,"Stress,Anxiousness",30,79,Agree,Agree,Slightly Agree,Slightly Disagree,20,Female,,Sophomore
